room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
9533193,1429,49381951,Private room,,Boston,,Allston,0,0.0,2,1.0,,58.0,,Great location apartment near Harva,2017-07-10 15:19:14.241346,42.360408,-71.124386,0101000020E61000002385B2F0F5C751C0BF9B6ED9212E4540
6766281,1429,35423230,Private room,,Boston,,Allston,2,0.0,1,1.0,,50.0,,Boston University Harvard MIT,2017-07-10 15:18:43.610325,42.354919,-71.137052,0101000020E61000007D76C075C5C851C051DD5CFC6D2D4540
17959491,1429,104636154,Private room,,Boston,,Allston,2,0.0,1,1.0,,43.0,,(1a) Sunny Room for Long Stays,2017-07-10 15:18:40.174908,42.35249,-71.134303,0101000020E61000004D309C6B98C851C062156F641E2D4540
19701112,1429,24905002,Private room,,Boston,,Brighton,0,0.0,2,1.0,,55.0,,"spacious apartment, cosy room, easy commute",2017-07-10 15:18:40.170752,42.347759,-71.141073,0101000020E610000050560C5707C951C0E1F1ED5D832C4540
18540444,1429,30489899,Private room,,Boston,,Allston,0,0.0,1,0.0,,50.0,,Comfy room near everything: real bed (not sofa),2017-07-10 15:18:40.166502,42.355138,-71.138111,0101000020E6100000F10D85CFD6C851C08EC87729752D4540
16086871,1429,50646598,Private room,,Boston,,Allston,0,0.0,1,1.0,,58.0,,"Shared housing long/short term, private room",2017-07-10 15:18:40.158802,42.354596,-71.138178,0101000020E6100000B5C189E8D7C851C06EA5D766632D4540
18324409,1429,50694834,Private room,,Boston,,Allston,0,0.0,2,1.0,,50.0,,"Near BU, BC, MIT and Harvard",2017-07-10 15:18:38.451202,42.351936,-71.134414,0101000020E6100000F9872D3D9AC851C07D24253D0C2D4540
18005582,1429,5383468,Private room,,Boston,,Allston,0,0.0,2,1.0,,50.0,,"Very Central, Cozy, Safe and Quiet",2017-07-10 15:18:38.449289,42.351022,-71.135482,0101000020E610000096CCB1BCABC851C09816F549EE2C4540
9445192,1429,48948403,Private room,,Boston,,Allston,2,0.0,1,1.0,,60.0,,Cozy Room in Brookline Apartment,2017-07-10 15:18:38.444432,42.347988,-71.139391,0101000020E6100000D5963AC8EBC851C042B3EBDE8A2C4540
14231514,1429,30489899,Private room,,Boston,,Allston,1,0.0,1,1.0,,52.0,,Central location for Boston University Harvard MIT,2017-07-10 15:18:38.441733,42.355079,-71.136959,0101000020E61000002579AEEFC3C851C08A3F8A3A732D4540
18239585,1429,16840609,Private room,,Boston,,Fenway,0,0.0,1,1.0,,50.0,,Back Bay Summer Sublet!,2017-07-10 15:18:36.734707,42.340322,-71.090961,0101000020E6100000880D164ED2C551C0FE0DDAAB8F2B4540
7479725,1429,17892292,Private room,,Boston,,Allston,13,5.0,2,1.0,,40.0,,Sunny bedroom in Allston,2017-07-10 15:18:36.715029,42.360838,-71.1356,0101000020E61000009B559FABADC851C0B89388F02F2E4540
3860211,1429,19917804,Private room,,Boston,,Allston,1,0.0,1,1.0,,55.0,,"Stylish, comfortable Private Room ",2017-07-10 15:18:36.697589,42.348773,-71.135712,0101000020E61000002F6B6281AFC851C0295DFA97A42C4540
